INSTRUCT. NAME           | ARGUMENTS           | ERROR               |

STK_CONSTED              |                     |                     |
>> Number was popped     | STK_POP             |                     |
>> Number was popped     | STK_POP             |                     |
>> Number was popped     | STK_POP             |                     |
>> Number was popped     | STK_POP             |                     |
>> Number was popped     | STK_POP             |                     |
>> Stack is empty        | STK_EMPTY           |                     |
STK_DESTTED              |                     |                     |
